;Unnamed: 0;episode;advantage;reward;value_loss;policy_loss;total_loss;cx;cvx;py;px;pav
361680;680;289500;;;;;;-0,022770109;0,240054086;0,997175897;-0,075101471;-0,33016187
361681;681;289500;;;;;;-0,01677577;0,001585494;0,996748194;-0,080579387;0,062786192
361682;682;289500;;;;;;-0,017622929;-0,021525975;0,996887869;-0,078832586;0,005297272
361683;683;289500;;;;;;-0,017543009;0,01495246;0,996298519;-0,085960807;-0,177692369
361684;684;289500;;;;;;-0,029285811;-0,293651968;0,997122612;-0,075805654;0,354687542
361685;685;289500;;;;;;-0,059657291;-0,560781896;0,999451947;-0,033102965;0,832193255
361686;686;289500;;;;;;-0,091174014;-0,428549767;0,999957353;0,009235426;0,536855459
361687;687;289500;;;;;;-0,106400363;-0,112464085;0,999833931;0,018223882;-0,100769691
361688;688;289500;;;;;;-0,113490984;-0,104287997;0,999928688;0,011942278;-0,093197197
361689;689;289500;;;;;;-0,134979337;-0,458562374;0,999301417;0,037372165;0,676209927
361690;690;289500;;;;;;-0,162466809;-0,39212662;0,99688126;0,078916122;0,61219734
361691;691;289500;;;;;;-0,176584035;-0,107678294;0,995028216;0,099593419;0,141754925
361692;692;289500;;;;;;-0,172613934;0,160856575;0,995801577;0,091538076;-0,282093525
361693;693;289500;;;;;;-0,153185382;0,375023723;0,998231508;0,059446251;-0,617234051
361694;694;289500;;;;;;-0,131387115;0,30412659;0,999612523;0,027835286;-0,403873175
361695;695;289500;;;;;;-0,120518185;0,081315883;0,999760364;0,021890974;0,095838867
361696;696;289500;;;;;;-0,112566441;0,143891573;0,999708666;0,024136758;-0,002355815
361697;697;289500;;;;;;-0,09348055;0,376562893;0,999986827;0,005132827;-0,462389439
361698;698;289500;;;;;;-0,067333132;0,408586651;0,999602273;-0,028201004;-0,537631094
361699;699;289500;;;;;;-0,052493066;0,115122251;0,999196163;-0,040087748;0,030331569
361700;700;289500;;;;;;-0,0504332;-0,019288799;0,99959196;-0,028564207;0,263302147
361701;701;289500;;;;;;-0,0414204;0,229992896;0,999414356;-0,034219084;-0,295148045
361702;702;289500;;;;;;-0,017531004;0,441708684;0,997246429;-0,074159016;-0,799730599
361703;703;289500;;;;;;-0,00195313;0,113587216;0,994675844;-0,10305322;-0,231364548
361704;704;289500;;;;;;-0,013962987;-0,359422207;0,996523594;-0,083311029;0,622094333
361705;705;289500;;;;;;-0,034762733;-0,289255857;0,998620611;-0,052505958;0,382270277
361706;706;289500;;;;;;-0,044848498;-0,071200334;0,998809548;-0,048779974;-0,137037471
361707;707;289500;;;;;;-0,061834946;-0,36914596;0,999399975;-0,034636546;0,427220702
361708;708;289500;;;;;;-0,096448757;-0,618394077;0,999904889;0,013791776;0,926965892
361709;709;289500;;;;;;-0,124350756;-0,30644998;0,998777405;0,049433755;0,31761241
361710;710;289500;;;;;;-0,131929621;-5,14E-05;0,998898788;0,046917073;-0,250913918
361711;711;289500;;;;;;-0,136336252;-0,106618397;0,999109339;0,042196314;0,034406025
361712;712;289500;;;;;;-0,147308156;-0,202191398;0,998470478;0,055287464;0,299266279
361713;713;289500;;;;;;-0,151746318;0,013468158;0,998214117;0,059737556;-0,069701456
361714;714;289500;;;;;;-0,142103091;0,225971311;0,999196073;0,040090003;-0,438533723
361715;715;289500;;;;;;-0,126178116;0,251058877;0,999939811;0,010971501;-0,449181139
361716;716;289500;;;;;;-0,1196751;0,007370848;0,999995805;0,00289648;0,070886314
361717;717;289500;;;;;;-0,125961125;-0,157082528;0,999753531;0,022200842;0,42879951
361718;718;289500;;;;;;-0,127360806;0,059923671;0,99944627;0,033273928;0,01457541
361719;719;289500;;;;;;-0,114169851;0,284009427;0,999860646;0,016693945;-0,413434267
361720;720;289500;;;;;;-0,098360799;0,213323891;0,999992954;-0,003753955;-0,252366394
361721;721;289500;;;;;;-0,094957873;-0,045416895;0,999998409;0,001784022;0,285697043
361722;722;289500;;;;;;-0,09131223;0,115406595;0,999975272;0,007032511;-0,042367645
361723;723;289500;;;;;;-0,073121272;0,372046381;0,999843561;-0,017687654;-0,577922106
361724;724;289500;;;;;;-0,054660946;0,224978834;0,99901412;-0,044393552;-0,307349563
361725;725;289500;;;;;;-0,055509787;-0,155501142;0,999413425;-0,034246248;0,431180894
361726;726;289500;;;;;;-0,06259542;-0,078946993;0,999902498;-0,013964024;0,23784104
361727;727;289500;;;;;;-0,058065694;0,157118917;0,999813037;-0,019336274;-0,273017466
361728;728;289500;;;;;;-0,047287367;0,16741927;0,999221066;-0,039462156;-0,328446656
361729;729;289500;;;;;;-0,04744437;-0,104050077;0,999203563;-0,039902883;0,185136914
361730;730;289500;;;;;;-0,059364829;-0,226898566;0,99981949;-0,018999689;0,39987883
361731;731;289500;;;;;;-0,067683257;-0,065887585;0,999973496;-0,007280587;0,047455132
361732;732;289500;;;;;;-0,067056373;0,054799989;0,999888577;-0,014927612;-0,21493274
361733;733;289500;;;;;;-0,069656715;-0,095773108;0,999857087;-0,016905758;0,079943694
361734;734;289500;;;;;;-0,081265628;-0,224191472;0,99999925;-0,001224343;0,334987968
361735;735;289500;;;;;;-0,08894714;-0,051992204;0,999980818;0,006193773;-0,018800234
361736;736;289500;;;;;;-0,086012818;0,102515928;0,999967497;-0,008062577;-0,336681336
361737;737;289500;;;;;;-0,087848134;-0,105755337;0,999918623;-0,012757257;0,086275592
